{'dt': 2.360571, 'sns': [781, 723, 844, 662, 677]}
{'dt': 2.352054, 'sns': [773, 723, 840, 663, 678]}
{'dt': 2.35446, 'sns': [781, 722, 841, 664, 680]}
{'dt': 2.354146, 'sns': [778, 721, 844, 666, 680]}
{'dt': 2.356998, 'sns': [768, 704, 835, 666, 680]}
{'dt': 2.365164, 'sns': [783, 725, 845, 666, 681]}
{'dt': 2.36496, 'sns': [784, 726, 845, 664, 677]}
{'dt': 2.356479, 'sns': [785, 725, 840, 663, 678]}
{'dt': 2.360498, 'sns': [783, 721, 839, 664, 680]}
{'dt': 2.357016, 'sns': [774, 719, 842, 662, 678]}
{'dt': 2.363239, 'sns': [774, 723, 839, 659, 674]}
{'dt': 2.36146, 'sns': [775, 721, 837, 661, 677]}
{'dt': 2.357646, 'sns': [773, 719, 843, 662, 676]}
{'dt': 2.351516, 'sns': [771, 722, 846, 662, 676]}
{'dt': 2.350979, 'sns': [777, 722, 847, 663, 676]}
{'dt': 2.347202, 'sns': [778, 722, 845, 660, 674]}
{'dt': 2.364497, 'sns': [779, 720, 840, 658, 671]}
{'dt': 2.357794, 'sns': [778, 716, 836, 660, 674]}
{'dt': 2.352646, 'sns': [774, 715, 842, 659, 673]}
{'dt': 2.348868, 'sns': [771, 720, 841, 657, 670]}
{'dt': 2.364461, 'sns': [779, 722, 840, 660, 672]}
{'dt': 2.353331, 'sns': [778, 720, 847, 662, 673]}
{'dt': 2.349127, 'sns': [776, 725, 851, 662, 675]}
{'dt': 2.352164, 'sns': [779, 727, 852, 662, 675]}
{'dt': 2.348479, 'sns': [782, 727, 851, 659, 674]}
{'dt': 2.355702, 'sns': [781, 726, 845, 658, 673]}
{'dt': 2.367683, 'sns': [775, 720, 840, 662, 676]}
{'dt': 2.35859, 'sns': [778, 721, 848, 662, 677]}
{'dt': 2.352905, 'sns': [775, 723, 847, 661, 677]}
{'dt': 2.350498, 'sns': [779, 722, 843, 661, 678]}
{'dt': 2.348312, 'sns': [777, 718, 845, 663, 679]}
{'dt': 2.346127, 'sns': [774, 720, 849, 663, 680]}
{'dt': 2.351165, 'sns': [776, 722, 801, 660, 679]}
{'dt': 2.369757, 'sns': [779, 722, 851, 659, 676]}
{'dt': 2.352349, 'sns': [780, 722, 845, 656, 674]}
{'dt': 2.353627, 'sns': [781, 719, 839, 658, 677]}
{'dt': 2.350831, 'sns': [777, 714, 842, 652, 679]}
{'dt': 2.363424, 'sns': [772, 716, 812, 654, 676]}
{'dt': 2.361294, 'sns': [775, 715, 835, 652, 677]}
