{'flv': {'dt': 1, 'sns': [783, 273, 272, 265, 660], 'sp': 12, 'tn': -5.7509999999999994}, 'lp': {'dt': 1, 'err': -8, 'o': 2.6479999999999997, 'po': -2.4, 'io': -0.052000000000000005, 'do': 5.1}, 'rp': {'dt': 1, 'err': -18, 'o': -5.7509999999999994, 'po': -5.3999999999999995, 'io': -0.35100000000000003, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 289, 283, 266, 660], 'sp': 12, 'tn': 12.075999999999999}, 'lp': {'dt': 1, 'err': -24, 'o': -12.075999999999999, 'po': -7.199999999999999, 'io': -0.076, 'do': -4.8}, 'rp': {'dt': 1, 'err': -19, 'o': -6.37, 'po': -5.7, 'io': -0.37, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 292, 272, 260, 660], 'sp': 12, 'tn': 9.103}, 'lp': {'dt': 1, 'err': -27, 'o': -9.103, 'po': -8.1, 'io': -0.10300000000000001, 'do': -0.8999999999999999}, 'rp': {'dt': 1, 'err': -13, 'o': -2.457, 'po': -3.9, 'io': -0.357, 'do': 1.7999999999999998}}
{'flv': {'dt': 2, 'sns': [768, 265, 272, 254, 653], 'sp': 12, 'tn': -1.5430000000000001}, 'lp': {'dt': 2, 'err': 0, 'o': 4.05, 'po': 0.0, 'io': 0.0, 'do': 4.05}, 'rp': {'dt': 2, 'err': -7, 'o': -1.5430000000000001, 'po': -2.1, 'io': -0.343, 'do': 0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [781, 265, 272, 254, 658], 'sp': 12, 'tn': -2.45}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -7, 'o': -2.45, 'po': -2.1, 'io': -0.35000000000000003, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 279, 275, 247, 657], 'sp': 12, 'tn': 8.414000000000001}, 'lp': {'dt': 1, 'err': -14, 'o': -8.414000000000001, 'po': -4.2, 'io': -0.014, 'do': -4.2}, 'rp': {'dt': 1, 'err': 0, 'o': 2.1, 'po': 0.0, 'io': 0.0, 'do': 2.1}}
{'flv': {'dt': 1, 'sns': [783, 272, 274, 247, 654], 'sp': 12, 'tn': 0.007000000000000117}, 'lp': {'dt': 1, 'err': -7, 'o': -0.007000000000000117, 'po': -2.1, 'io': -0.007, 'do': 2.1}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 247, 652], 'sp': 12, 'tn': 4.518}, 'lp': {'dt': 1, 'err': -11, 'o': -4.518, 'po': -3.3, 'io': -0.018000000000000002, 'do': -1.2}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 265, 272, 247, 650], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 3.3, 'po': 0.0, 'io': 0.0, 'do': 3.3}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 265, 272, 247, 647], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 265, 272, 247, 645], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [781, 265, 272, 247, 645], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [778, 265, 272, 247, 643], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [773, 265, 272, 247, 641], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [769, 265, 272, 247, 638], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [766, 265, 272, 247, 636], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
