{'flv': {'dt': 1, 'sns': [696, 282, 272, 393, 656], 'sp': 0, 'tn': -36.599999999999994}, 'lp': {'dt': 1, 'err': -17, 'o': -3.3, 'po': -5.1, 'io': 0, 'do': 1.7999999999999998}, 'rp': {'dt': 1, 'err': -146, 'o': -36.599999999999994, 'po': -43.8, 'io': 0, 'do': 7.199999999999999}}
{'flv': {'dt': 1, 'sns': [690, 265, 273, 370, 660], 'sp': 0, 'tn': -30.0}, 'lp': {'dt': 1, 'err': 0, 'o': 5.1, 'po': 0.0, 'io': 0, 'do': 5.1}, 'rp': {'dt': 1, 'err': -123, 'o': -30.0, 'po': -36.9, 'io': 0, 'do': 6.8999999999999995}}
{'flv': {'dt': 1, 'sns': [741, 266, 272, 345, 660], 'sp': 0, 'tn': -21.9}, 'lp': {'dt': 1, 'err': -1, 'o': -0.6, 'po': -0.3, 'io': 0, 'do': -0.3}, 'rp': {'dt': 1, 'err': -98, 'o': -21.9, 'po': -29.4, 'io': 0, 'do': 7.5}}
{'flv': {'dt': 1, 'sns': [750, 265, 282, 310, 660], 'sp': 0, 'tn': -8.399999999999999}, 'lp': {'dt': 1, 'err': 0, 'o': 0.3, 'po': 0.0, 'io': 0, 'do': 0.3}, 'rp': {'dt': 1, 'err': -63, 'o': -8.399999999999999, 'po': -18.9, 'io': 0, 'do': 10.5}}
{'flv': {'dt': 1, 'sns': [770, 272, 286, 294, 660], 'sp': 0, 'tn': -9.3}, 'lp': {'dt': 1, 'err': -7, 'o': -4.2, 'po': -2.1, 'io': 0, 'do': -2.1}, 'rp': {'dt': 1, 'err': -47, 'o': -9.3, 'po': -14.1, 'io': 0, 'do': 4.8}}
{'flv': {'dt': 1, 'sns': [780, 276, 280, 269, 660], 'sp': 0, 'tn': 4.5}, 'lp': {'dt': 1, 'err': -11, 'o': -4.5, 'po': -3.3, 'io': 0, 'do': -1.2}, 'rp': {'dt': 1, 'err': -22, 'o': 0.9000000000000004, 'po': -6.6, 'io': 0, 'do': 7.5}}
{'flv': {'dt': 1, 'sns': [783, 269, 273, 252, 660], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': -4, 'o': 0.9000000000000001, 'po': -1.2, 'io': 0, 'do': 2.1}, 'rp': {'dt': 1, 'err': -5, 'o': 3.5999999999999996, 'po': -1.5, 'io': 0, 'do': 5.1}}
{'flv': {'dt': 1, 'sns': [782, 269, 272, 247, 660], 'sp': 12, 'tn': 1.2}, 'lp': {'dt': 1, 'err': -4, 'o': -1.2, 'po': -1.2, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 1.5, 'po': 0.0, 'io': 0, 'do': 1.5}}
{'flv': {'dt': 1, 'sns': [783, 265, 272, 247, 660], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 1.2, 'po': 0.0, 'io': 0, 'do': 1.2}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 265, 272, 247, 660], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
