{'flv': {'tm': 1652532645193484555, 'dt': 2.541246, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.541246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.541246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645196027579, 'dt': 2.595339, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.595339, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.595339, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645198586492, 'dt': 2.540264, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.540264, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.540264, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645201190571, 'dt': 2.560617, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.560617, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.560617, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645203732873, 'dt': 2.604357, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.604357, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.604357, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645206284415, 'dt': 2.540487, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.540487, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.540487, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645208825680, 'dt': 2.552042, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.552042, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.552042, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645211408352, 'dt': 2.540635, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.540635, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.540635, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645213996727, 'dt': 2.585394, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.585394, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.585394, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645216579585, 'dt': 2.587246, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.587246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.587246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645219144775, 'dt': 2.582394, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.582394, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.582394, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645221726984, 'dt': 2.565468, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.565468, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.565468, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645224319767, 'dt': 2.581876, 'sns': [99, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.581876, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.581876, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645227070160, 'dt': 2.592672, 'sns': [99, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.592672, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.592672, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645229667647, 'dt': 2.752949, 'sns': [99, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.752949, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.752949, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
